id,name,street_address,postal_code,latitude,longitude,city_id,stars,review_count,is_open
mcdonaldsxxx280622825525,McDonald's,6192 Gunn Hwy,33625,28.0622922,-82.5525362,3,1.0,5,1
mcdonaldsxxx280624827060,McDonald's,3480 E Lake Rd,34685,28.0624351,-82.7060571,61,3.0,25,1
mcdonaldsxxx280653825708,McDonald's,8002 Citrus Park Dr,33625,28.0653907,-82.5708237,3,2.0,37,1
mcdonaldsxxx280685824686,McDonald's,926 W Fletcher Ave,33612,28.0685487,-82.4686839,3,2.5,20,1
mcdonaldsxxx280687824334,McDonald's,2205 E Fletcher Ave,33612,28.068766,-82.4334912,3,2.0,24,1
mcdonaldsxxx280799827385,McDonald's,33817 US Hwy 19 N,34684,28.0799726,-82.7385235,61,1.5,40,1
mcdonaldsxxx280828825433,McDonald's,5393 Ehrlich Rd,33624,28.08282,-82.5433006,3,2.0,16,1
mcdonaldsxxx280854825796,McDonald's,8506 Gunn Hwy,33556,28.0854411,-82.5796241,376,2.5,16,1
mcdonaldsxxx280876824604,McDonald's,104 W Bearss Ave,33613,28.08767,-82.4604798,3,1.5,23,1
mcdonaldsxxx280957825028,McDonald's,15698 N Dale Mabry,33624,28.0957958,-82.5028852,3,2.0,24,1
mcdonaldsxxx281179823793,McDonald's,5101 Pointe Of Tampa Way,33647,28.1179878,-82.3793117,3,2.0,27,1
mcdonaldsxxx281268825017,McDonald's,17757 N Dale Mabry,33548,28.126827,-82.501712,159,2.0,22,1
mcdonaldsxxx281418824633,McDonald's,106 Crystal Grove Blvd,33549,28.1418831,-82.4633548,159,1.5,27,1
mcdonaldsxxx281422827411,McDonald's,40728 US Hwy 19 N,34689,28.1422259,-82.7411003,164,2.5,31,1
mcdonaldsxxx281460823537,McDonald's,19080 Bruce B Downs Blvd,33647,28.1460929,-82.3537999,3,1.5,34,1
mcdonaldsxxx281823823542,McDonald's,1820 Trout Creek Dr,33544,28.1823962,-82.3542727,50,3.5,7,0
mcdonaldsxxx281824823543,McDonald's,1733 Bruce B Downs Blvd,33544,28.1824325,-82.3543525,50,2.0,21,1
mcdonaldsxxx281928824650,McDonald's,2420 Land Olakes Blvd,34639,28.1928052,-82.465024,99,1.5,37,1
mcdonaldsxxx281930823919,McDonald's,2609 Creek Grass Way,33559,28.1930516,-82.3919254,159,3.0,15,1
mcdonaldsxxx281943826368,McDonald's,10727 Sr 54,34655,28.1943876,-82.6368157,216,2.0,23,1
mcdonaldsxxx282010827404,McDonald's,2909 US Hwy 19 N,34691,28.2010671,-82.7404559,195,2.0,22,1
mcdonaldsxxx282166826945,McDonald's,7226 State Road 54,34653,28.2166303,-82.6945412,228,1.5,22,1
